"Plot5"
"Time (sec)","Acceleration1 (mm/sec**2)"
0.945000000000001,2565.37373811458
0.950000000000001,2764.90150926803
0.955000000000001,2879.31286731927
0.960000000000001,2909.15028087678
0.965000000000001,2845.36490177177
0.970000000000001,2700.83779897156
0.975000000000001,2469.74227435318
0.980000000000001,2166.70108807294
0.985000000000001,1796.37422922713
0.990000000000001,1372.49871018044
0.995000000000001,905.304728222975
1,411.894630749617
1.005,-10.9658756314375
1.01,0.392326392245699
1.015,0.286188695718787
1.02,-0.48382608318866
1.025,0.53399075619255
1.03,-0.408632126442021
1.035,-0.41407571600796
1.04,1.47353659847373
1.045,-1.0166315903945
1.05,-9.38117717858941
1.055,348.23861825681
1.06,2457.26732986802
1.065,4092.79026728594
1.07,5334.55307541528
1.075,6216.9217552093
1.08,6775.71773936229
1.085,7031.16693348781
1.09,7014.15105879001
1.095,6760.91538189937
1.1,6288.1728518489
1.105,5629.16039463088
1.11,4815.76441050457
1.115,3872.90758604459
1.12,2830.0883305775
1.125,1718.81681034105
1.13,561.957124425604
1.135,-606.154217421378
1.14,-1761.60939807901
1.145,-2870.48482490753
1.15,-3910.65754648453
1.155,-4846.98784584013
1.16,-5657.44629046755
1.165,-6305.95906835835
1.17,-6771.92185278363
1.175,-7019.45593089063
1.18,-7025.06600998936
1.185,-6760.2190963094
1.19,-6192.05118200565
1.195,-5294.19743199864
1.2,-4040.61289751573
1.205,-2397.7698952054
1.21,-336.222664019571
1.215,0.796456550003157
1.22,-0.210641577630193
1.225,0.519054524282845
1.23,-1.50771108951153
1.235,1.23258271977586
1.24,1.67557215846037
1.245,-1.02907127537344
1.25,-1.39310665174686
1.255,1.33786732588283
1.26,0.144426105427264
1.265,0.294001497726272
1.26999999999999,-2.38817822796424
1.27499999999999,-762.080398699597
1.27999999999999,-4685.18532450522
1.28499999999999,-8027.80610054275
1.28999999999999,-10437.0274513565
1.29499999999999,-11548.4495642081
1.29999999999999,-11299.6814518276
1.30499999999999,-9681.26929870516
1.30999999999999,-6883.97628519599
1.31499999999999,-3264.7442214647
1.31999999999999,753.443880908352
1.32499999999999,4678.98659474365
1.32999999999999,8041.3135266465
1.33499999999999,10424.8584643187
1.33999999999999,11570.9412775358
1.34499999999999,11283.8669562217
1.34999999999999,9679.95474721771
1.35499999999999,6869.78238578458
1.35999999999999,3268.70789618109
1.36499999999999,10.8722515656973
1.36999999999999,2.57605834591883
1.37499999999999,-2.39484935649062
1.37999999999999,0.0253639942295007
1.38499999999999,0.41888242771747
1.38999999999999,0.967912849493932
1.39499999999999,-0.548949139278962
1.39999999999999,-1.40367231722972
1.40499999999999,0.932295515352093
1.40999999999999,1.09018225011028
1.41499999999999,-1.41752600125488
1.41999999999999,-3.08070950238925
1.42499999999999,-86.8702058641974
1.42999999999999,-598.61071895565
1.43499999999999,-1081.73318070639
1.43999999999999,-1534.34018991676
1.44499999999999,-1941.00071847723
1.44999999999999,-2290.07733842042
1.45499999999999,-2563.10568642471
1.45999999999999,-2764.34929165471
1.46499999999999,-2879.25472399969
1.46999999999999,-2906.76940908596
1.47499999999999,-2846.54783215436
1.47999999999999,-2700.86963432385
1.48499999999999,-2470.25782796316
1.48999999999999,-2167.38150099192
1.49499999999999,-1795.94525530944
1.49999999999999,-1372.11573064233
1.50499999999999,-905.259839482922
1.50999999999999,-412.327203746064
1.51499999999999,94.8702295071795
1.51999999999999,597.778601388328
1.52499999999999,1082.19336779441
1.52999999999999,1535.02193739229
1.53499999999999,1941.31968313906
1.53999999999999,2287.1303921175
1.54499999999999,2565.37373813179
1.54999999999999,2764.90150928778
1.55499999999999,2879.31286730525
1.55999999999999,2909.15028087333
1.56499999999999,2845.36490176537
1.56999999999999,2700.83779896814
1.57499999999999,2469.74227434196
1.57999999999999,2166.70108807548
1.58499999999999,1796.37422924365
1.58999999999999,1372.49871017821
1.59499999999999,905.304728225668
1.59999999999999,411.89463074854
1.60499999999999,-10.9658756353894
1.60999999999999,0.392326389765918
1.61499999999999,0.286188695077372
1.61999999999999,-0.483826086022177
1.62499999999999,0.533990758007874
1.62999999999999,-0.408632120544432
1.63499999999999,-0.414075712446207
1.63999999999999,1.47353659537461
1.64499999999999,-1.01663159254679
1.64999999999999,-9.38117386100033
1.65499999999999,348.238618251495
1.65999999999999,2457.26732985991
1.66499999999999,4092.7902672881
1.66999999999999,5334.55307541086
1.67499999999999,6216.9217552304
1.67999999999999,6775.71773935594
1.68499999999999,7031.16693349484
1.68999999999999,7014.15105878022
1.69499999999999,6760.91538190169
1.69999999999999,6288.17285185156
1.70499999999999,5629.16039463297
1.70999999999999,4815.76441051699
1.71499999999999,3872.90758604332
1.71999999999999,2830.08833057648
1.72499999999999,1718.81681034338
1.72999999999999,561.95712441876
1.73499999999998,-606.15421743093
1.73999999999998,-1761.6093980763
1.74499999999998,-2870.48482490399
1.74999999999998,-3910.65754648349
1.75499999999998,-4846.9878458448
1.75999999999998,-5657.44629046916
1.76499999999998,-6305.95906835782
1.76999999999998,-6771.92185278177
1.77499999999998,-7019.45593089056
1.77999999999998,-7025.06600998788
1.78499999999998,-6760.21909631076
1.78999999999998,-6192.05118200708
1.79499999999998,-5294.19743200181
1.79999999999998,-4040.61289751934
1.80499999999998,-2397.76989521018
1.80999999999998,-336.222664025855
1.81499999999998,0.796456549337727
1.81999999999998,-0.210641580204929
1.82499999999998,0.519054524323052
1.82999999999998,-1.50771109236707
1.83499999999998,1.23258272148501
1.83999999999998,1.67557215613346
1.84499999999998,-1.02907127053121
1.84999999999998,-1.3931066447532
1.85499999999998,1.33786733705602
1.85999999999998,0.144426108965571
1.86499999999998,0.294001489056027
1.86999999999998,-2.38817822752216
1.87499999999998,-762.080398690412
1.87999999999998,-4685.18532449168
1.88499999999998,-8027.80610053902
1.88999999999998,-10437.0274513736
1.89499999999998,-11548.4495642166
1.89999999999998,-11299.6814518255
1.90499999999998,-9681.26929871146
1.90999999999998,-6883.97628521422
1.91499999999998,-3264.74422147895
1.91999999999998,753.443880866468
1.92499999999998,4678.98659474491
1.92999999999998,8041.31352665564
1.93499999999998,10424.8584642994
1.93999999999998,11570.9412775554
1.94499999999998,11283.8669562063
1.94999999999998,9679.95474725515
1.95499999999998,6869.78238579864
1.95999999999998,3268.70789620631
1.96499999999998,10.8722515592168
1.96999999999998,2.57605833659952
1.97499999999998,-2.39484934788533
1.97999999999998,0.0253640005321764
1.98499999999998,0.418882430536186
1.98999999999998,0.967912843262857
1.99499999999998,-0.548949141574888
2,-1.40367231972387
