"Plot3"
"Time (sec)","Linear Displacement3 (mm)"
0.465,30.0914598752081
0.47,30.2693053933837
0.475,30.5796149029846
0.48,31.044768119559
0.485,31.6786276666172
0.49,32.4877448428152
0.495,33.4717847802163
0.5,34.6243758710509
0.505,35.9337565954949
0.51,37.383522134803
0.515,38.9533913373555
0.52,40.6198659692898
0.525,42.3569562461712
0.53,44.1369148703138
0.535,45.9309017922413
0.54,47.7097538244495
0.545,49.4446771434241
0.55,51.1079630816857
0.555,52.6736989861378
0.56,54.1184943972041
0.565,55.4221943982097
0.57,56.5685795092784
0.575,57.5461152382815
0.58,58.3486133197748
0.585,58.9760003908256
0.59,59.4349663074861
0.595,59.7398309596708
0.6,59.9130440211203
0.605,59.9860523455935
0.61,59.9999657081957
0.615,60.0000449878515
0.62,60.0003735215186
0.625,59.999999172847
0.63,60.0000048951222
0.635,59.9999986143387
0.64,59.9999961594295
0.645,59.9999992002717
0.65,60.0000005331117
0.655,59.9999993434845
0.66,60.000002417493
0.665,59.9999994441677
0.67,60.000001267946
0.675,59.9999026385642
0.68,59.9720438566286
0.685,59.8286598347074
0.690000000000001,59.4857560724741
0.695000000000001,58.8849527736254
0.700000000000001,57.9979520067149
0.705000000000001,56.831212721594
0.710000000000001,55.4249369614901
0.715000000000001,53.848424068061
0.720000000000001,52.1908618830749
0.725000000000001,50.5520097537838
0.730000000000001,49.0289732377995
0.735000000000001,47.7049293808169
0.740000000000001,46.6390463023016
0.745000000000001,45.8594423224084
0.750000000000001,45.3596968548546
0.755000000000001,45.0994065028841
0.760000000000001,45.0093864693591
0.765000000000001,45.0000441155499
0.770000000000001,44.9999988583131
0.775000000000001,45.000004271927
0.780000000000001,44.999995290871
0.785000000000001,44.9999978384864
0.790000000000001,44.9999984066421
0.795000000000001,44.999999436324
0.800000000000001,45.0000014110171
0.805000000000001,44.999995066885
0.810000000000001,44.999996476774
0.815000000000001,45.000002082187
0.820000000000001,45.000003390461
0.825000000000001,44.9999811832542
0.830000000000001,44.9965246979257
0.835000000000001,44.9780850922828
0.840000000000001,44.9326631910484
0.845000000000001,44.8489654627956
0.850000000000001,44.7168756079887
0.855000000000001,44.5277253091703
0.860000000000001,44.2746243438677
0.865000000000001,43.9525897010342
0.870000000000001,43.5587421901612
0.875000000000001,43.0923991185821
0.880000000000001,42.5550692438473
0.885000000000001,41.9504090831984
0.890000000000001,41.2841404507644
0.895000000000001,40.5638432757755
0.900000000000001,39.7987466339189
0.905000000000001,38.999433007573
0.910000000000001,38.1775335377775
0.915000000000001,37.3453517949002
0.920000000000001,36.5155295023948
0.925000000000001,35.7006035116028
0.930000000000001,34.9126761705362
0.935000000000001,34.1630389310295
0.940000000000001,33.4618056108338
0.945000000000001,32.8176133490619
0.950000000000001,32.237384987728
0.955000000000001,31.7260915063042
0.960000000000001,31.2865991389075
0.965000000000001,30.9196137709937
0.970000000000001,30.6236107312743
0.975000000000001,30.3949379137952
0.980000000000001,30.2278697656862
0.985000000000001,30.114828343201
0.990000000000001,30.046595369381
0.995000000000001,30.0125757213757
1,30.0011421602896
1.005,30.0000050016112
1.01,30.0000016530726
1.015,30.0000006629897
1.02,30.0000034520879
1.025,29.9999999175381
1.03,30.0000038490885
