"Plot4"
"Time (sec)","Velocity1 (mm/sec)"
0.48,109.566364105921
0.485,144.214846845692
0.49,179.438407161876
0.495,213.972663750852
0.5,246.667834685179
0.505,276.52721163443
0.51,302.70042894027
0.515,324.464852778645
0.52,341.258276078618
0.525,352.654080814946
0.53,358.366311038108
0.535,358.253470702109
0.54,352.324887009466
0.545,340.720020194586
0.55,323.728484058812
0.555,301.784248829469
0.56,275.460666556976
0.565,245.474941193736
0.57,212.693087043128
0.575,178.109406951576
0.58,142.884682879932
0.585,108.285531259365
0.59,75.7825865762547
0.595,46.9094396422485
0.6,23.4214390522725
0.605,7.1514468751044
0.61,0.127566578777171
0.615,-0.000360749216572107
0.62,0.000297694387579569
0.625,-4.49743842884907e-05
0.63,0.000613184923001704
0.635,0.00113636951242444
0.64,-0.00158952025124859
0.645,-0.00195373505612347
0.65,0.00215719502244608
0.655,0.00195651538832757
0.66,-0.00156420579761281
0.665,-0.000144816810000078
0.67,-0.00127291241111641
0.675,-0.33387795269434
0.68,-14.0712177776412
0.685,-46.2026917321467
0.690000000000001,-92.8356586569968
0.695000000000001,-148.432407958566
0.700000000000001,-206.153802004101
0.705000000000001,-259.179807650365
0.710000000000001,-301.004673537151
0.715000000000001,-326.640771581215
0.720000000000001,-332.986629031213
0.725000000000001,-319.26264221994
0.730000000000001,-287.138186600573
0.735000000000001,-240.471824264749
0.740000000000001,-184.939659111008
0.745000000000001,-127.138873825389
0.750000000000001,-74.1888769287989
0.755000000000001,-32.3027789084533
0.760000000000001,-6.70873391283456
0.765000000000001,-0.00716141816402879
0.770000000000001,-0.00547595654939253
0.775000000000001,-0.0014898341692729
0.780000000000001,-6.75790160365174e-05
0.785000000000001,0.002092531968704
0.790000000000001,-0.00127104367218971
0.795000000000001,-0.00111380913464203
0.800000000000001,0.00125797486329952
0.805000000000001,-0.000687094130949554
0.810000000000001,0.00149563167379978
0.815000000000001,-0.00345256687404614
0.820000000000001,0.00263823550999603
0.825000000000001,-0.0443685842925491
0.830000000000001,-1.77825099010303
0.835000000000001,-5.98687849743002
0.840000000000001,-12.5539598602641
0.845000000000001,-21.2664190504655
0.850000000000001,-31.8600222124554
0.855000000000001,-44.0265722734898
0.860000000000001,-57.3809996451918
0.865000000000001,-71.5291108162758
0.870000000000001,-86.0321383506774
0.875000000000001,-100.45703794199
0.880000000000001,-114.352916500161
0.885000000000001,-127.317620743223
0.890000000000001,-138.937008674129
0.895000000000001,-148.871334884106
0.900000000000001,-156.813962552042
0.905000000000001,-162.521352449922
0.910000000000001,-165.827492124097
0.915000000000001,-166.621940566853
0.920000000000001,-164.887865829753
0.925000000000001,-160.678939704845
0.930000000000001,-154.114710067423
0.935000000000001,-145.400962201659
0.940000000000001,-134.804302375745
0.945000000000001,-122.639245779021
0.950000000000001,-109.286414399162
0.955000000000001,-95.1343543546799
0.960000000000001,-80.6381979114246
0.965000000000001,-66.2115107075446
0.970000000000001,-52.3107905186811
0.975000000000001,-39.3509480864753
0.980000000000001,-27.7298634315125
0.985000000000001,-17.793057745137
0.990000000000001,-9.85271056170537
0.995000000000001,-4.14566790402638
1,-0.839122652452495
1.005,0.00436624257149198
1.01,-0.00122106068230346
1.015,0.000765384256416107
1.02,-0.000303087808900966
1.025,-0.000102204706861367
1.03,0.0010153109910332
1.035,-0.00138038601357837
1.04,-0.000227814529352146
1.045,-0.00113078925716899
1.05,-0.00419768450785009
1.055,0.236350740480656
1.06,7.61186991428448
1.065,24.1958372416975
1.07,47.9123659806684
1.075,76.962074919492
1.08,109.56636410592
1.085,144.214846845681
1.09,179.438407161868
1.095,213.972663750845
1.1,246.66783468517
1.105,276.527211634421
1.11,302.700428940259
1.115,324.464852778636
1.12,341.258276078611
1.125,352.654080814943
1.13,358.366311038109
1.135,358.253470702109
1.14,352.32488700947
1.145,340.720020194595
1.15,323.728484058826
1.155,301.784248829477
1.16,275.460666556991
1.165,245.474941193754
1.17,212.69308704315
1.175,178.109406951597
1.18,142.884682879955
1.185,108.285531259388
1.19,75.7825865762762
1.195,46.9094396422677
1.2,23.4214390522876
1.205,7.15144687511399
1.21,0.12756657877865
1.215,-0.000360749216609414
1.22,0.000297694388012868
1.225,-4.49743837120536e-05
1.23,0.000613184922317226
1.235,0.00113636951159731
1.24,-0.00158952025003489
1.245,-0.00195373505294343
1.25,0.00215719502143665
1.255,0.00195651538625249
1.26,-0.00156420579782709
1.265,-0.000144816808441619
1.26999999999999,-0.00127291241657709
1.27499999999999,-0.333877952693535
1.27999999999999,-14.0712177776199
1.28499999999999,-46.2026917321011
1.28999999999999,-92.8356586569328
1.29499999999999,-148.432407958497
1.29999999999999,-206.153802004044
1.30499999999999,-259.17980765031
1.30999999999999,-301.004673537113
1.31499999999999,-326.6407715812
1.31999999999999,-332.986629031225
1.32499999999999,-319.262642219968
1.32999999999999,-287.138186600635
1.33499999999999,-240.471824264809
1.33999999999999,-184.939659111078
1.34499999999999,-127.138873825479
1.34999999999999,-74.1888769194725
1.35499999999999,-32.3027789084971
1.35999999999999,-6.70873391285995
1.36499999999999,-0.00716141816045129
1.36999999999999,-0.00547595655031221
1.37499999999999,-0.00148983417081474
1.37999999999999,-6.75790156940865e-05
1.38499999999999,0.00209253196461124
1.38999999999999,-0.00127104367602623
1.39499999999999,-0.00111380912582464
1.39999999999999,0.00125797486307383
1.40499999999999,-0.000687094139222644
1.40999999999999,0.00149563167055434
1.41499999999999,-0.00345256687326266
1.41999999999999,0.00263823551305175
1.42499999999999,-0.0443685842829603
1.42999999999999,-1.77825099010008
1.43499999999999,-5.98687849741822
1.43999999999999,-12.5539598602587
1.44499999999999,-21.2664190504483
1.44999999999999,-31.8600222124308
1.45499999999999,-44.0265722734554
1.45999999999999,-57.3809996451588
1.46499999999999,-71.5291108162478
1.46999999999999,-86.0321383506592
1.47499999999999,-100.457037941978
1.47999999999999,-114.352916500118
1.48499999999999,-127.317620743193
1.48999999999999,-138.937008674088
1.49499999999999,-148.871334884098
1.49999999999999,-156.813962552031
1.50499999999999,-162.521352449907
1.50999999999999,-165.827492124088
1.51499999999999,-166.621940566856
1.51999999999999,-164.887865829754
1.52499999999999,-160.678939704865
1.52999999999999,-154.114710067438
1.53499999999999,-145.400962201681
1.53999999999999,-134.804302375775
1.54499999999999,-122.639245779053
1.54999999999999,-109.286414399193
1.55499999999999,-95.1343543547122
1.55999999999999,-80.6381979114591
1.56499999999999,-66.2115107075823
1.56999999999999,-52.3107905187089
1.57499999999999,-39.3509480865082
1.57999999999999,-27.7298634315419
1.58499999999999,-17.7930577451732
1.58999999999999,-9.85271056172661
1.59499999999999,-4.14566790403986
1.59999999999999,-0.839122652465615
1.60499999999999,0.00436624257536116
1.60999999999999,-0.00122106068553433
1.61499999999999,0.000765384257223187
1.61999999999999,-0.000303087809075735
1.62499999999999,-0.000102204712357355
1.62999999999999,0.00101531099105064
1.63499999999999,-0.00138038601239329
1.63999999999999,-0.000227814529280658
1.64499999999999,-0.00113078925643608
1.64999999999999,-0.00419768285288916
1.65499999999999,0.23635074047691
1.65999999999999,7.61186991425182
1.66499999999999,24.1958372416443
1.66999999999999,47.9123659805965
1.67499999999999,76.9620749194125
1.67999999999999,109.566364105829
1.68499999999999,144.214846845592
1.68999999999999,179.438407161776
1.69499999999999,213.972663750746
1.69999999999999,246.667834685085
1.70499999999999,276.527211634347
1.70999999999999,302.700428940199
1.71499999999999,324.464852778586
1.71999999999999,341.258276078573
1.72499999999999,352.654080814918
1.72999999999999,358.366311038101
1.73499999999998,358.253470702115
1.73999999999998,352.324887009487
1.74499999999998,340.720020194634
1.74999999999998,323.728484058876
1.75499999999998,301.784248829541
1.75999999999998,275.460666557066
1.76499999999998,245.474941193839
1.76999999999998,212.693087043237
1.77499999999998,178.109406951689
1.77999999999998,142.884682880047
1.78499999999998,108.285531259475
1.78999999999998,75.7825865763571
1.79499999999998,46.9094396423383
1.79999999999998,23.4214390523409
1.80499999999998,7.15144687514442
1.80999999999998,0.127566578782761
1.81499999999998,-0.000360749216521228
1.81999999999998,0.000297694387308264
1.82499999999998,-4.49743840540574e-05
1.82999999999998,0.000613184922084852
1.83499999999998,0.0011363695112605
1.83999999999998,-0.00158952024998778
1.84499999999998,-0.00195373505365163
1.84999999999998,0.00215719502209674
1.85499999999998,0.00195651538821781
1.85999999999998,-0.00156420579778121
1.86499999999998,-0.000144816805010604
1.86999999999998,-0.00127291241428008
1.87499999999998,-0.333877952680339
1.87999999999998,-14.0712177775527
1.88499999999998,-46.2026917319983
1.88999999999998,-92.8356586568044
1.89499999999998,-148.432407958345
1.89999999999998,-206.153802003898
1.90499999999998,-259.179807650177
1.90999999999998,-301.004673537019
1.91499999999998,-326.64077158115
1.91999999999998,-332.986629031226
1.92499999999998,-319.262642220032
1.92999999999998,-287.138186600731
1.93499999999998,-240.471824264949
1.93999999999998,-184.93965911123
1.94499999999998,-127.138873825604
1.94999999999998,-74.1888769313151
1.95499999999998,-32.3027789085873
1.95999999999998,-6.70873391290563
1.96499999999998,-0.00716141815955154
1.96999999999998,-0.00547595655711371
1.97499999999998,-0.0014898341710469
1.97999999999998,-6.75790121185606e-05
1.98499999999998,0.00209253196767383
1.98999999999998,-0.00127104367560074
1.99499999999998,-0.00111380912691482
2,0.00125797485941036
