,,
,,follower-1
,,Velocity2 (mm/sec)
Frame,Time,Ref. Coordinate System: 
215,1.070,2.8936E+02
216,1.075,3.0006E+02
217,1.080,3.0858E+02
218,1.085,3.1297E+02
219,1.090,3.1413E+02
220,1.095,3.1168E+02
221,1.100,3.0623E+02
222,1.105,2.9716E+02
223,1.110,2.8473E+02
224,1.115,2.6936E+02
225,1.120,2.5128E+02
226,1.125,2.3004E+02
227,1.130,2.0635E+02
228,1.135,1.8047E+02
229,1.140,1.5250E+02
230,1.145,1.2287E+02
231,1.150,9.2217E+01
232,1.155,6.0271E+01
233,1.160,2.7412E+01
234,1.165,1.2576E+00
235,1.170,-2.6680E-03
236,1.175,2.4757E-01
237,1.180,-2.0206E-01
238,1.185,6.6920E-03
239,1.190,1.3183E-02
240,1.195,-7.6159E-02
241,1.200,1.4271E-01
242,1.205,-1.4417E-01
243,1.210,2.0520E-01
244,1.215,-1.1156E-01
245,1.220,1.1990E-01
246,1.225,-1.9659E-01
247,1.230,-1.0477E+00
248,1.235,-3.0267E+01
249,1.240,-6.6380E+01
250,1.245,-1.0090E+02
251,1.250,-1.3339E+02
252,1.255,-1.6201E+02
253,1.260,-1.8655E+02
254,1.265,-2.0694E+02
255,1.270,-2.2201E+02
256,1.275,-2.3152E+02
257,1.280,-2.3561E+02
258,1.285,-2.3367E+02
259,1.290,-2.2590E+02
260,1.295,-2.1305E+02
261,1.300,-1.9413E+02
262,1.305,-1.7114E+02
263,1.310,-1.4377E+02
264,1.315,-1.1285E+02
265,1.320,-7.8935E+01
266,1.325,-4.3505E+01
267,1.330,-7.4311E+00
268,1.335,2.2142E-01
269,1.340,9.2808E-02
270,1.345,1.1891E-01
271,1.350,-1.6230E-01
272,1.355,-1.6203E-01
273,1.360,1.4761E-01
274,1.365,-9.1705E-02
275,1.370,-1.1050E+00
276,1.375,-4.2475E+00
277,1.380,-9.0953E+00
278,1.385,-1.5164E+01
279,1.390,-2.3442E+01
280,1.395,-3.2527E+01
281,1.400,-4.2666E+01
282,1.405,-5.3504E+01
283,1.410,-6.5089E+01
284,1.415,-7.7067E+01
285,1.420,-8.8460E+01
286,1.425,-9.9986E+01
287,1.430,-1.1067E+02
288,1.435,-1.2058E+02
289,1.440,-1.2928E+02
290,1.445,-1.3677E+02
291,1.450,-1.4259E+02
292,1.455,-1.4687E+02
293,1.460,-1.4943E+02
294,1.465,-1.4983E+02
295,1.470,-1.4876E+02
296,1.475,-1.4587E+02
297,1.480,-1.4086E+02
298,1.485,-1.3447E+02
299,1.490,-1.2682E+02
300,1.495,-1.1765E+02
301,1.500,-1.0738E+02
302,1.505,-9.6143E+01
303,1.510,-8.5199E+01
304,1.515,-7.3079E+01
305,1.520,-6.1467E+01
306,1.525,-4.9841E+01
307,1.530,-3.9413E+01
308,1.535,-2.9493E+01
309,1.540,-2.0585E+01
310,1.545,-1.3225E+01
311,1.550,-7.5058E+00
312,1.555,-3.2051E+00
313,1.560,-4.8739E-01
314,1.565,-2.0617E-01
315,1.570,2.9209E-01
316,1.575,-2.7220E-01
317,1.580,1.1821E-01
318,1.585,-1.1372E-01
319,1.590,-2.0691E-02
320,1.595,2.7004E-01
321,1.600,-2.6708E-01
322,1.605,-6.4346E-03
323,1.610,-1.2336E-01
324,1.615,6.0247E+00
325,1.620,3.8549E+01
326,1.625,7.0293E+01
327,1.630,1.0192E+02
328,1.635,1.3256E+02
329,1.640,1.6148E+02
330,1.645,1.8888E+02
331,1.650,2.1395E+02
332,1.655,2.3715E+02
333,1.660,2.5692E+02
334,1.665,2.7443E+02
335,1.670,2.8936E+02
336,1.675,3.0006E+02
337,1.680,3.0858E+02
338,1.685,3.1297E+02
339,1.690,3.1413E+02
340,1.695,3.1168E+02
341,1.700,3.0623E+02
342,1.705,2.9716E+02
343,1.710,2.8473E+02
344,1.715,2.6936E+02
345,1.720,2.5128E+02
346,1.725,2.3004E+02
347,1.730,2.0635E+02
348,1.735,1.8047E+02
349,1.740,1.5250E+02
350,1.745,1.2287E+02
351,1.750,9.2217E+01
352,1.755,6.0271E+01
353,1.760,2.7412E+01
354,1.765,1.2576E+00
355,1.770,-2.6680E-03
356,1.775,2.4757E-01
357,1.780,-2.0206E-01
358,1.785,6.6920E-03
359,1.790,1.3183E-02
360,1.795,-7.6159E-02
361,1.800,1.4271E-01
362,1.805,-1.4417E-01
363,1.810,2.0520E-01
364,1.815,-1.1156E-01
365,1.820,1.1990E-01
366,1.825,-1.9659E-01
367,1.830,-1.0477E+00
368,1.835,-3.0267E+01
369,1.840,-6.6380E+01
370,1.845,-1.0090E+02
371,1.850,-1.3339E+02
372,1.855,-1.6201E+02
373,1.860,-1.8655E+02
374,1.865,-2.0694E+02
375,1.870,-2.2201E+02
376,1.875,-2.3152E+02
377,1.880,-2.3561E+02
378,1.885,-2.3367E+02
379,1.890,-2.2590E+02
380,1.895,-2.1305E+02
381,1.900,-1.9413E+02
382,1.905,-1.7114E+02
383,1.910,-1.4377E+02
384,1.915,-1.1285E+02
385,1.920,-7.8935E+01
386,1.925,-4.3505E+01
387,1.930,-7.4311E+00
388,1.935,2.2142E-01
389,1.940,9.2808E-02
390,1.945,1.1891E-01
391,1.950,-1.6230E-01
392,1.955,-1.6203E-01
393,1.960,1.4761E-01
394,1.965,-9.1705E-02
395,1.970,-1.1050E+00
396,1.975,-4.2475E+00
397,1.980,-9.0953E+00
398,1.985,-1.5164E+01
399,1.990,-2.3442E+01
400,1.995,-3.2527E+01
401,2.000,-4.2666E+01
