,,
,,follower-1
,,Acceleration1 (mm/sec**2)
Frame,Time,Ref. Coordinate System: 
218,1.085,5.6927E+02
219,1.090,-9.4818E+01
220,1.095,-8.5868E+02
221,1.100,-1.3538E+03
222,1.105,-2.2677E+03
223,1.110,-2.7441E+03
224,1.115,-3.3679E+03
225,1.120,-4.1281E+03
226,1.125,-4.3150E+03
227,1.130,-5.0175E+03
228,1.135,-5.3596E+03
229,1.140,-5.6475E+03
230,1.145,-6.1936E+03
231,1.150,-6.1820E+03
232,1.155,-6.5169E+03
233,1.160,-7.1825E+03
234,1.165,-2.1776E+03
235,1.170,1.0766E+02
236,1.175,6.0180E+01
237,1.180,5.3000E+01
238,1.185,-4.3887E+01
239,1.190,1.7235E+01
240,1.195,-1.0823E+01
241,1.200,-1.2112E+02
242,1.205,1.1017E+02
243,1.210,-1.8089E+02
244,1.215,1.4332E+02
245,1.220,-7.4387E+01
246,1.225,1.4910E+02
247,1.230,-2.3343E+03
248,1.235,-8.1160E+03
249,1.240,-7.1807E+03
250,1.245,-6.5317E+03
251,1.250,-6.0363E+03
252,1.255,-5.4528E+03
253,1.260,-4.5346E+03
254,1.265,-3.5458E+03
255,1.270,-2.5313E+03
256,1.275,-1.2776E+03
257,1.280,-2.2989E+02
258,1.285,9.9377E+02
259,1.290,2.0061E+03
260,1.295,3.2225E+03
261,1.300,4.0572E+03
262,1.305,5.1720E+03
263,1.310,5.9926E+03
264,1.315,6.3363E+03
265,1.320,7.0658E+03
266,1.325,7.3165E+03
267,1.330,4.8615E+03
268,1.335,-6.5083E+02
269,1.340,1.6435E+01
270,1.345,1.1014E+01
271,1.350,1.8046E+02
272,1.355,-1.9584E+02
273,1.360,-3.8210E+01
274,1.365,-1.6254E+00
275,1.370,-5.6102E+02
276,1.375,-6.5214E+02
277,1.380,-1.2807E+03
278,1.385,-1.2330E+03
279,1.390,-1.6511E+03
280,1.395,-2.0348E+03
281,1.400,-2.0516E+03
282,1.405,-2.2934E+03
283,1.410,-2.2476E+03
284,1.415,-2.4985E+03
285,1.420,-2.2121E+03
286,1.425,-2.3310E+03
287,1.430,-2.0447E+03
288,1.435,-1.8819E+03
289,1.440,-1.6857E+03
290,1.445,-1.2793E+03
291,1.450,-1.0117E+03
292,1.455,-6.8894E+02
293,1.460,-4.0755E+02
294,1.465,2.3289E+02
295,1.470,4.4219E+02
296,1.475,7.3249E+02
297,1.480,1.0078E+03
298,1.485,1.5376E+03
299,1.490,1.7679E+03
300,1.495,1.8702E+03
301,1.500,2.0226E+03
302,1.505,2.3660E+03
303,1.510,2.4159E+03
304,1.515,2.3145E+03
305,1.520,2.2988E+03
306,1.525,2.2853E+03
307,1.530,2.1708E+03
308,1.535,1.8006E+03
309,1.540,1.5880E+03
310,1.545,1.3650E+03
311,1.550,1.1491E+03
312,1.555,5.7251E+02
313,1.560,2.2524E+02
314,1.565,4.4702E+01
315,1.570,-5.7895E+01
316,1.575,-7.3083E+01
317,1.580,1.3368E+02
318,1.585,-1.5993E+02
319,1.590,-3.1400E+01
320,1.595,8.7274E+01
321,1.600,1.1702E+02
322,1.605,-8.5313E+01
323,1.610,-4.1438E+02
324,1.615,4.1383E+03
325,1.620,6.6127E+03
326,1.625,6.4215E+03
327,1.630,6.1866E+03
328,1.635,6.0398E+03
329,1.640,5.6572E+03
330,1.645,5.2521E+03
331,1.650,4.7731E+03
332,1.655,4.4158E+03
333,1.660,3.9191E+03
334,1.665,3.0216E+03
335,1.670,2.5418E+03
336,1.675,1.9049E+03
337,1.680,1.2595E+03
338,1.685,5.6927E+02
339,1.690,-9.4818E+01
340,1.695,-8.5868E+02
341,1.700,-1.3538E+03
342,1.705,-2.2677E+03
343,1.710,-2.7441E+03
344,1.715,-3.3679E+03
345,1.720,-4.1281E+03
346,1.725,-4.3150E+03
347,1.730,-5.0175E+03
348,1.735,-5.3596E+03
349,1.740,-5.6475E+03
350,1.745,-6.1936E+03
351,1.750,-6.1820E+03
352,1.755,-6.5169E+03
353,1.760,-7.1825E+03
354,1.765,-2.1776E+03
355,1.770,1.0766E+02
356,1.775,6.0180E+01
357,1.780,5.3000E+01
358,1.785,-4.3887E+01
359,1.790,1.7235E+01
360,1.795,-1.0823E+01
361,1.800,-1.2112E+02
362,1.805,1.1017E+02
363,1.810,-1.8089E+02
364,1.815,1.4332E+02
365,1.820,-7.4387E+01
366,1.825,1.4910E+02
367,1.830,-2.3343E+03
368,1.835,-8.1160E+03
369,1.840,-7.1807E+03
370,1.845,-6.5317E+03
371,1.850,-6.0363E+03
372,1.855,-5.4528E+03
373,1.860,-4.5346E+03
374,1.865,-3.5458E+03
375,1.870,-2.5313E+03
376,1.875,-1.2776E+03
377,1.880,-2.2989E+02
378,1.885,9.9377E+02
379,1.890,2.0061E+03
380,1.895,3.2225E+03
381,1.900,4.0572E+03
382,1.905,5.1720E+03
383,1.910,5.9926E+03
384,1.915,6.3363E+03
385,1.920,7.0658E+03
386,1.925,7.3165E+03
387,1.930,4.8615E+03
388,1.935,-6.5083E+02
389,1.940,1.6435E+01
390,1.945,1.1014E+01
391,1.950,1.8046E+02
392,1.955,-1.9584E+02
393,1.960,-3.8210E+01
394,1.965,-1.6254E+00
395,1.970,-5.6102E+02
396,1.975,-6.5214E+02
397,1.980,-1.2807E+03
398,1.985,-1.2330E+03
399,1.990,-1.6511E+03
400,1.995,-2.0348E+03
401,2.000,-2.0516E+03
