,,
,,follower-1
,,Velocity1 (mm/sec)
Frame,Time,Ref. Coordinate System: 
216,1.075,1.6512E+02
217,1.080,1.2997E+02
218,1.085,9.5976E+01
219,1.090,6.4607E+01
220,1.095,3.7526E+01
221,1.100,1.6467E+01
222,1.105,3.3776E+00
223,1.110,-4.7707E-05
224,1.115,-1.7478E-03
225,1.120,-9.9546E-04
226,1.125,2.4277E-03
227,1.130,-3.3369E-03
228,1.135,2.6251E-03
229,1.140,-1.5950E-03
230,1.145,1.4316E-03
231,1.150,-2.5513E-03
232,1.155,2.5111E-03
233,1.160,-1.8179E-03
234,1.165,1.1438E-03
235,1.170,-3.5913E-03
236,1.175,-3.1351E+00
237,1.180,-2.3939E+01
238,1.185,-6.1984E+01
239,1.190,-1.1268E+02
240,1.195,-1.6982E+02
241,1.200,-2.2665E+02
242,1.205,-2.7621E+02
243,1.210,-3.1256E+02
244,1.215,-3.3133E+02
245,1.220,-3.3022E+02
246,1.225,-3.0939E+02
247,1.230,-2.7135E+02
248,1.235,-2.2068E+02
249,1.240,-1.6348E+02
250,1.245,-1.0671E+02
251,1.250,-5.7100E+01
252,1.255,-2.0799E+01
253,1.260,-1.9663E+00
254,1.265,1.3432E-02
255,1.270,-1.0208E-03
256,1.275,-1.0239E-03
257,1.280,-8.2913E-04
258,1.285,1.4615E-03
259,1.290,1.4406E-03
260,1.295,-5.8364E-04
261,1.300,-2.3444E-03
262,1.305,7.0641E-04
263,1.310,1.0449E-03
264,1.315,2.5055E-04
265,1.320,-4.6955E-04
266,1.325,-3.9077E-01
267,1.330,-3.0511E+00
268,1.335,-8.1461E+00
269,1.340,-1.5529E+01
270,1.345,-2.4971E+01
271,1.350,-3.6190E+01
272,1.355,-4.8835E+01
273,1.360,-6.2535E+01
274,1.365,-7.6860E+01
275,1.370,-9.1385E+01
276,1.375,-1.0567E+02
277,1.380,-1.1927E+02
278,1.385,-1.3178E+02
279,1.390,-1.4282E+02
280,1.395,-1.5205E+02
281,1.400,-1.5919E+02
282,1.405,-1.6403E+02
283,1.410,-1.6641E+02
284,1.415,-1.6628E+02
285,1.420,-1.6362E+02
286,1.425,-1.5852E+02
287,1.430,-1.5114E+02
288,1.435,-1.4169E+02
289,1.440,-1.3048E+02
290,1.445,-1.1783E+02
291,1.450,-1.0413E+02
292,1.455,-8.9805E+01
293,1.460,-7.5278E+01
294,1.465,-6.1001E+01
295,1.470,-4.7395E+01
296,1.475,-3.4890E+01
297,1.480,-2.3847E+01
298,1.485,-1.4619E+01
299,1.490,-7.4759E+00
300,1.495,-2.6385E+00
301,1.500,-2.4774E-01
302,1.505,2.7955E-04
303,1.510,5.9150E-04
304,1.515,1.6019E-04
305,1.520,-2.8501E-04
306,1.525,-6.7776E-04
307,1.530,-2.3898E-04
308,1.535,5.5872E-05
309,1.540,2.6099E-03
310,1.545,1.1423E-03
311,1.550,-1.6038E-02
312,1.555,1.6810E+00
313,1.560,1.2793E+01
314,1.565,3.2208E+01
315,1.570,5.8119E+01
316,1.575,8.8655E+01
317,1.580,1.2221E+02
318,1.585,1.5721E+02
319,1.590,1.9233E+02
320,1.595,2.2631E+02
321,1.600,2.5806E+02
322,1.605,2.8666E+02
323,1.610,3.1128E+02
324,1.615,3.3127E+02
325,1.620,3.4611E+02
326,1.625,3.5543E+02
327,1.630,3.5901E+02
328,1.635,3.5674E+02
329,1.640,3.4869E+02
330,1.645,3.3506E+02
331,1.650,3.1618E+02
332,1.655,2.9255E+02
333,1.660,2.6478E+02
334,1.665,2.3366E+02
335,1.670,2.0008E+02
336,1.675,1.6512E+02
337,1.680,1.2997E+02
338,1.685,9.5976E+01
339,1.690,6.4607E+01
340,1.695,3.7526E+01
341,1.700,1.6467E+01
342,1.705,3.3776E+00
343,1.710,-4.7707E-05
344,1.715,-1.7478E-03
345,1.720,-9.9546E-04
346,1.725,2.4277E-03
347,1.730,-3.3369E-03
348,1.735,2.6251E-03
349,1.740,-1.5950E-03
350,1.745,1.4316E-03
351,1.750,-2.5513E-03
352,1.755,2.5111E-03
353,1.760,-1.8179E-03
354,1.765,1.1438E-03
355,1.770,-3.5913E-03
356,1.775,-3.1351E+00
357,1.780,-2.3939E+01
358,1.785,-6.1984E+01
359,1.790,-1.1268E+02
360,1.795,-1.6982E+02
361,1.800,-2.2665E+02
362,1.805,-2.7621E+02
363,1.810,-3.1256E+02
364,1.815,-3.3133E+02
365,1.820,-3.3022E+02
366,1.825,-3.0939E+02
367,1.830,-2.7135E+02
368,1.835,-2.2068E+02
369,1.840,-1.6348E+02
370,1.845,-1.0671E+02
371,1.850,-5.7100E+01
372,1.855,-2.0799E+01
373,1.860,-1.9663E+00
374,1.865,1.3432E-02
375,1.870,-1.0208E-03
376,1.875,-1.0239E-03
377,1.880,-8.2913E-04
378,1.885,1.4615E-03
379,1.890,1.4406E-03
380,1.895,-5.8364E-04
381,1.900,-2.3444E-03
382,1.905,7.0641E-04
383,1.910,1.0449E-03
384,1.915,2.5055E-04
385,1.920,-4.6955E-04
386,1.925,-3.9077E-01
387,1.930,-3.0511E+00
388,1.935,-8.1461E+00
389,1.940,-1.5529E+01
390,1.945,-2.4971E+01
391,1.950,-3.6190E+01
392,1.955,-4.8835E+01
393,1.960,-6.2535E+01
394,1.965,-7.6860E+01
395,1.970,-9.1385E+01
396,1.975,-1.0567E+02
397,1.980,-1.1927E+02
398,1.985,-1.3178E+02
399,1.990,-1.4282E+02
400,1.995,-1.5205E+02
401,2.000,-1.5919E+02
