,,
,,follower-1
,,Linear Displacement1 (mm)
Frame,Time,Ref. Coordinate System: 
226,1.125,5.0000E+01
227,1.130,5.0000E+01
228,1.135,5.0000E+01
229,1.140,5.0000E+01
230,1.145,5.0000E+01
231,1.150,5.0000E+01
232,1.155,5.0000E+01
233,1.160,5.0000E+01
234,1.165,5.0000E+01
235,1.170,5.0000E+01
236,1.175,4.9997E+01
237,1.180,4.9937E+01
238,1.185,4.9729E+01
239,1.190,4.9296E+01
240,1.195,4.8591E+01
241,1.200,4.7599E+01
242,1.205,4.6337E+01
243,1.210,4.4859E+01
244,1.215,4.3241E+01
245,1.220,4.1579E+01
246,1.225,3.9972E+01
247,1.230,3.8513E+01
248,1.235,3.7279E+01
249,1.240,3.6318E+01
250,1.245,3.5644E+01
251,1.250,3.5239E+01
252,1.255,3.5051E+01
253,1.260,3.5002E+01
254,1.265,3.5000E+01
255,1.270,3.5000E+01
256,1.275,3.5000E+01
257,1.280,3.5000E+01
258,1.285,3.5000E+01
259,1.290,3.5000E+01
260,1.295,3.5000E+01
261,1.300,3.5000E+01
262,1.305,3.5000E+01
263,1.310,3.5000E+01
264,1.315,3.5000E+01
265,1.320,3.5000E+01
266,1.325,3.5000E+01
267,1.330,3.4992E+01
268,1.335,3.4965E+01
269,1.340,3.4907E+01
270,1.345,3.4806E+01
271,1.350,3.4654E+01
272,1.355,3.4442E+01
273,1.360,3.4164E+01
274,1.365,3.3816E+01
275,1.370,3.3395E+01
276,1.375,3.2902E+01
277,1.380,3.2340E+01
278,1.385,3.1711E+01
279,1.390,3.1024E+01
280,1.395,3.0286E+01
281,1.400,2.9507E+01
282,1.405,2.8698E+01
283,1.410,2.7871E+01
284,1.415,2.7038E+01
285,1.420,2.6212E+01
286,1.425,2.5406E+01
287,1.430,2.4631E+01
288,1.435,2.3898E+01
289,1.440,2.3217E+01
290,1.445,2.2596E+01
291,1.450,2.2040E+01
292,1.455,2.1555E+01
293,1.460,2.1143E+01
294,1.465,2.0802E+01
295,1.470,2.0532E+01
296,1.475,2.0326E+01
297,1.480,2.0180E+01
298,1.485,2.0085E+01
299,1.490,2.0031E+01
300,1.495,2.0006E+01
301,1.500,2.0000E+01
302,1.505,2.0000E+01
303,1.510,2.0000E+01
304,1.515,2.0000E+01
305,1.520,2.0000E+01
306,1.525,2.0000E+01
307,1.530,2.0000E+01
308,1.535,2.0000E+01
309,1.540,2.0000E+01
310,1.545,2.0000E+01
311,1.550,2.0000E+01
312,1.555,2.0002E+01
313,1.560,2.0034E+01
314,1.565,2.0143E+01
315,1.570,2.0367E+01
316,1.575,2.0733E+01
317,1.580,2.1259E+01
318,1.585,2.1957E+01
319,1.590,2.2831E+01
320,1.595,2.3878E+01
321,1.600,2.5090E+01
322,1.605,2.6453E+01
323,1.610,2.7950E+01
324,1.615,2.9558E+01
325,1.620,3.1254E+01
326,1.625,3.3010E+01
327,1.630,3.4799E+01
328,1.635,3.6591E+01
329,1.640,3.8357E+01
330,1.645,4.0068E+01
331,1.650,4.1698E+01
332,1.655,4.3222E+01
333,1.660,4.4617E+01
334,1.665,4.5864E+01
335,1.670,4.6949E+01
336,1.675,4.7863E+01
337,1.680,4.8600E+01
338,1.685,4.9164E+01
339,1.690,4.9564E+01
340,1.695,4.9818E+01
341,1.700,4.9950E+01
342,1.705,4.9996E+01
343,1.710,5.0000E+01
344,1.715,5.0000E+01
345,1.720,5.0000E+01
346,1.725,5.0000E+01
347,1.730,5.0000E+01
348,1.735,5.0000E+01
349,1.740,5.0000E+01
350,1.745,5.0000E+01
351,1.750,5.0000E+01
352,1.755,5.0000E+01
353,1.760,5.0000E+01
354,1.765,5.0000E+01
355,1.770,5.0000E+01
356,1.775,4.9997E+01
357,1.780,4.9937E+01
358,1.785,4.9729E+01
359,1.790,4.9296E+01
360,1.795,4.8591E+01
361,1.800,4.7599E+01
362,1.805,4.6337E+01
363,1.810,4.4859E+01
364,1.815,4.3241E+01
365,1.820,4.1579E+01
366,1.825,3.9972E+01
367,1.830,3.8513E+01
368,1.835,3.7279E+01
369,1.840,3.6318E+01
370,1.845,3.5644E+01
371,1.850,3.5239E+01
372,1.855,3.5051E+01
373,1.860,3.5002E+01
374,1.865,3.5000E+01
375,1.870,3.5000E+01
376,1.875,3.5000E+01
377,1.880,3.5000E+01
378,1.885,3.5000E+01
379,1.890,3.5000E+01
380,1.895,3.5000E+01
381,1.900,3.5000E+01
382,1.905,3.5000E+01
383,1.910,3.5000E+01
384,1.915,3.5000E+01
385,1.920,3.5000E+01
386,1.925,3.5000E+01
387,1.930,3.4992E+01
388,1.935,3.4965E+01
389,1.940,3.4907E+01
390,1.945,3.4806E+01
391,1.950,3.4654E+01
392,1.955,3.4442E+01
393,1.960,3.4164E+01
394,1.965,3.3816E+01
395,1.970,3.3395E+01
396,1.975,3.2902E+01
397,1.980,3.2340E+01
398,1.985,3.1711E+01
399,1.990,3.1024E+01
400,1.995,3.0286E+01
401,2.000,2.9507E+01
