,,
,,follower-1
,,Linear Displacement1 (mm)
Frame,Time,Ref. Coordinate System: 
226,1.125,5.5219E+01
227,1.130,5.6311E+01
228,1.135,5.7279E+01
229,1.140,5.8112E+01
230,1.145,5.8802E+01
231,1.150,5.9340E+01
232,1.155,5.9722E+01
233,1.160,5.9942E+01
234,1.165,6.0002E+01
235,1.170,6.0000E+01
236,1.175,6.0000E+01
237,1.180,6.0000E+01
238,1.185,6.0000E+01
239,1.190,6.0000E+01
240,1.195,6.0000E+01
241,1.200,6.0000E+01
242,1.205,6.0000E+01
243,1.210,6.0000E+01
244,1.215,6.0000E+01
245,1.220,6.0000E+01
246,1.225,6.0000E+01
247,1.230,6.0002E+01
248,1.235,5.9938E+01
249,1.240,5.9694E+01
250,1.245,5.9274E+01
251,1.250,5.8687E+01
252,1.255,5.7948E+01
253,1.260,5.7075E+01
254,1.265,5.6089E+01
255,1.270,5.5014E+01
256,1.275,5.3878E+01
257,1.280,5.2708E+01
258,1.285,5.1532E+01
259,1.290,5.0381E+01
260,1.295,4.9281E+01
261,1.300,4.8261E+01
262,1.305,4.7345E+01
263,1.310,4.6556E+01
264,1.315,4.5914E+01
265,1.320,4.5433E+01
266,1.325,4.5127E+01
267,1.330,4.5005E+01
268,1.335,4.5001E+01
269,1.340,4.5000E+01
270,1.345,4.5000E+01
271,1.350,4.5000E+01
272,1.355,4.5000E+01
273,1.360,4.5000E+01
274,1.365,4.5000E+01
275,1.370,4.4998E+01
276,1.375,4.4985E+01
277,1.380,4.4952E+01
278,1.385,4.4891E+01
279,1.390,4.4796E+01
280,1.395,4.4657E+01
281,1.400,4.4469E+01
282,1.405,4.4229E+01
283,1.410,4.3932E+01
284,1.415,4.3578E+01
285,1.420,4.3164E+01
286,1.425,4.2693E+01
287,1.430,4.2166E+01
288,1.435,4.1587E+01
289,1.440,4.0962E+01
290,1.445,4.0296E+01
291,1.450,3.9597E+01
292,1.455,3.8873E+01
293,1.460,3.8131E+01
294,1.465,3.7382E+01
295,1.470,3.6635E+01
296,1.475,3.5898E+01
297,1.480,3.5180E+01
298,1.485,3.4490E+01
299,1.490,3.3837E+01
300,1.495,3.3225E+01
301,1.500,3.2663E+01
302,1.505,3.2153E+01
303,1.510,3.1699E+01
304,1.515,3.1304E+01
305,1.520,3.0968E+01
306,1.525,3.0689E+01
307,1.530,3.0466E+01
308,1.535,3.0295E+01
309,1.540,3.0171E+01
310,1.545,3.0086E+01
311,1.550,3.0035E+01
312,1.555,3.0010E+01
313,1.560,3.0001E+01
314,1.565,3.0000E+01
315,1.570,3.0000E+01
316,1.575,3.0000E+01
317,1.580,3.0000E+01
318,1.585,3.0000E+01
319,1.590,3.0000E+01
320,1.595,3.0000E+01
321,1.600,3.0000E+01
322,1.605,3.0000E+01
323,1.610,3.0000E+01
324,1.615,3.0004E+01
325,1.620,3.0110E+01
326,1.625,3.0382E+01
327,1.630,3.0813E+01
328,1.635,3.1399E+01
329,1.640,3.2135E+01
330,1.645,3.3012E+01
331,1.650,3.4020E+01
332,1.655,3.5148E+01
333,1.660,3.6384E+01
334,1.665,3.7715E+01
335,1.670,3.9126E+01
336,1.675,4.0600E+01
337,1.680,4.2123E+01
338,1.685,4.3678E+01
339,1.690,4.5248E+01
340,1.695,4.6814E+01
341,1.700,4.8360E+01
342,1.705,4.9870E+01
343,1.710,5.1326E+01
344,1.715,5.2713E+01
345,1.720,5.4016E+01
346,1.725,5.5219E+01
347,1.730,5.6311E+01
348,1.735,5.7279E+01
349,1.740,5.8112E+01
350,1.745,5.8802E+01
351,1.750,5.9340E+01
352,1.755,5.9722E+01
353,1.760,5.9942E+01
354,1.765,6.0002E+01
355,1.770,6.0000E+01
356,1.775,6.0000E+01
357,1.780,6.0000E+01
358,1.785,6.0000E+01
359,1.790,6.0000E+01
360,1.795,6.0000E+01
361,1.800,6.0000E+01
362,1.805,6.0000E+01
363,1.810,6.0000E+01
364,1.815,6.0000E+01
365,1.820,6.0000E+01
366,1.825,6.0000E+01
367,1.830,6.0002E+01
368,1.835,5.9938E+01
369,1.840,5.9694E+01
370,1.845,5.9274E+01
371,1.850,5.8687E+01
372,1.855,5.7948E+01
373,1.860,5.7075E+01
374,1.865,5.6089E+01
375,1.870,5.5014E+01
376,1.875,5.3878E+01
377,1.880,5.2708E+01
378,1.885,5.1532E+01
379,1.890,5.0381E+01
380,1.895,4.9281E+01
381,1.900,4.8261E+01
382,1.905,4.7345E+01
383,1.910,4.6556E+01
384,1.915,4.5914E+01
385,1.920,4.5433E+01
386,1.925,4.5127E+01
387,1.930,4.5005E+01
388,1.935,4.5001E+01
389,1.940,4.5000E+01
390,1.945,4.5000E+01
391,1.950,4.5000E+01
392,1.955,4.5000E+01
393,1.960,4.5000E+01
394,1.965,4.5000E+01
395,1.970,4.4998E+01
396,1.975,4.4985E+01
397,1.980,4.4952E+01
398,1.985,4.4891E+01
399,1.990,4.4796E+01
400,1.995,4.4657E+01
401,2.000,4.4469E+01
