,,
,,follower-1
,,Acceleration1 (mm/sec**2)
Frame,Time,Ref. Coordinate System: 
218,1.085,-6.5895E+03
219,1.090,-5.8975E+03
220,1.095,-4.8778E+03
221,1.100,-3.4786E+03
222,1.105,-1.6890E+03
223,1.110,-2.7967E+00
224,1.115,1.6430E+00
225,1.120,-4.8651E-01
226,1.125,7.5404E-01
227,1.130,-8.7710E-01
228,1.135,-3.1540E-01
229,1.140,1.6958E-02
230,1.145,-6.6678E-01
231,1.150,5.5045E-01
232,1.155,-2.2011E+00
233,1.160,1.0068E+00
234,1.165,-1.3435E-01
235,1.170,4.0786E+00
236,1.175,-2.2233E+03
237,1.180,-6.0081E+03
238,1.185,-9.0725E+03
239,1.190,-1.0983E+04
240,1.195,-1.1648E+04
241,1.200,-1.0850E+04
242,1.205,-8.7613E+03
243,1.210,-5.6343E+03
244,1.215,-1.7974E+03
245,1.220,2.2371E+03
246,1.225,6.0082E+03
247,1.230,9.0528E+03
248,1.235,1.1017E+04
249,1.240,1.1609E+04
250,1.245,1.0877E+04
251,1.250,8.7336E+03
252,1.255,5.6427E+03
253,1.260,1.7697E+03
254,1.265,5.8302E+00
255,1.270,1.5393E+00
256,1.275,7.0206E-01
257,1.280,1.9271E-01
258,1.285,-2.2521E+00
259,1.290,1.4012E+00
260,1.295,1.7863E+00
261,1.300,-1.3340E+00
262,1.305,-2.9262E-01
263,1.310,6.4714E-01
264,1.315,-7.2008E-01
265,1.320,-1.5418E+00
266,1.325,-2.8061E+02
267,1.330,-7.8052E+02
268,1.335,-1.2548E+03
269,1.340,-1.6904E+03
270,1.345,-2.0772E+03
271,1.350,-2.3976E+03
272,1.355,-2.6499E+03
273,1.360,-2.8140E+03
274,1.365,-2.9035E+03
275,1.370,-2.8920E+03
276,1.375,-2.8011E+03
277,1.380,-2.6255E+03
278,1.385,-2.3666E+03
279,1.390,-2.0360E+03
280,1.395,-1.6474E+03
281,1.400,-1.2036E+03
282,1.405,-7.2701E+02
283,1.410,-2.2496E+02
284,1.415,2.8131E+02
285,1.420,7.7964E+02
286,1.425,1.2541E+03
287,1.430,1.6920E+03
288,1.435,2.0750E+03
289,1.440,2.3989E+03
290,1.445,2.6484E+03
291,1.450,2.8161E+03
292,1.455,2.9000E+03
293,1.460,2.8944E+03
294,1.465,2.8025E+03
295,1.470,2.6226E+03
296,1.475,2.3663E+03
297,1.480,2.0375E+03
298,1.485,1.6470E+03
299,1.490,1.2025E+03
300,1.495,7.2436E+02
301,1.500,2.2852E+02
302,1.505,-2.1212E+00
303,1.510,1.4616E-01
304,1.515,-9.9108E-02
305,1.520,-8.4005E-02
306,1.525,1.2269E-01
307,1.530,3.9221E-01
308,1.535,-2.1012E+00
309,1.540,1.2941E+00
310,1.545,3.8225E+00
311,1.550,4.6203E+00
312,1.555,1.1969E+03
313,1.560,3.1000E+03
314,1.565,4.6021E+03
315,1.570,5.6968E+03
316,1.575,6.4653E+03
317,1.580,6.9002E+03
318,1.585,7.0564E+03
319,1.590,6.9505E+03
320,1.595,6.6037E+03
321,1.600,6.0671E+03
322,1.605,5.3420E+03
323,1.610,4.4843E+03
324,1.615,3.4998E+03
325,1.620,2.4271E+03
326,1.625,1.2940E+03
327,1.630,1.3283E+02
328,1.635,-1.0383E+03
329,1.640,-2.1756E+03
330,1.645,-3.2651E+03
331,1.650,-4.2694E+03
332,1.655,-5.1633E+03
333,1.660,-5.9157E+03
334,1.665,-6.5053E+03
335,1.670,-6.8867E+03
336,1.675,-7.0580E+03
337,1.680,-6.9566E+03
338,1.685,-6.5895E+03
339,1.690,-5.8975E+03
340,1.695,-4.8778E+03
341,1.700,-3.4786E+03
342,1.705,-1.6890E+03
343,1.710,-2.7967E+00
344,1.715,1.6430E+00
345,1.720,-4.8651E-01
346,1.725,7.5404E-01
347,1.730,-8.7710E-01
348,1.735,-3.1540E-01
349,1.740,1.6958E-02
350,1.745,-6.6678E-01
351,1.750,5.5045E-01
352,1.755,-2.2011E+00
353,1.760,1.0068E+00
354,1.765,-1.3435E-01
355,1.770,4.0786E+00
356,1.775,-2.2233E+03
357,1.780,-6.0081E+03
358,1.785,-9.0725E+03
359,1.790,-1.0983E+04
360,1.795,-1.1648E+04
361,1.800,-1.0850E+04
362,1.805,-8.7613E+03
363,1.810,-5.6343E+03
364,1.815,-1.7974E+03
365,1.820,2.2371E+03
